,Title,CDID
546,HICP Annual Percentage Change - Poland 2005=100                         ,D7RV
547,RPI:Weights (parts per 1000) One-person pensioner - Restaurant meals    ,CZZY
548,HICP Annual Percentage Change - Malta 2005=100                          ,D7RU
549,RPI:Weights (parts per 1000) One-person pensioner - Other foods         ,CZZX
550,HICP Annual Percentage Change - Lithuania 2005=100                      ,D7RT
551,RPI:Weights (parts per 1000) One-person pensioner - Processed fruit     ,CZZW
552,HICP Annual Percentage Change - Latvia 2005=100                         ,D7RS
553,RPI:Weights (parts per 1000) One-person pensioner - Fresh fruit         ,CZZV
554,HICP Annual Percentage Change - Hungary 2005=100                        ,D7RR
555,RPI:Weights (parts per 1000) One-person pensioner - Processed vegetables,CZZU
556,HICP Annual Percentage Change - Estonia 2005=100                        ,D7RQ
557,RPI:Weights (parts per 1000) One-person pensioner - Fresh vegetables    ,CZZT
558,HICP Annual Percentage Change - Czech Republic 2005=100                 ,D7RP
559,RPI:Weights (parts per 1000) One-person pensioner - Processed potatoes  ,CZZS
560,HICP Annual Percentage Change - Cyprus 2005=100                         ,D7RO
561,RPI:Weights (parts per 1000) One-person pensioner - Unprocessed potatoes,CZZR
562,RPI:Weights (parts per 1000) One-person pensioner - Sweets and chocolates,CZZQ
563,RPI:Weights (parts per 1000) One-person pensioner - Sugar and preserves ,CZZP
564,RPI:Weights (parts per 1000) One-person pensioner - Soft drinks         ,CZZO
565,RPI:Weights (parts per 1000) One-person pensioner - Coffee and other hot drinks,CZZN
566,RPI:Weights (parts per 1000) One-person pensioner - Tea                 ,CZZM
567,RPI:Weights (parts per 1000) One-person pensioner - Milk products       ,CZZL
568,"RPI:Weights (parts per 1000) One-person pensioner - Milk, fresh         ",CZZK
569,RPI:Weights (parts per 1000) One-person pensioner - Eggs                ,CZZJ
570,RPI:Weights (parts per 1000) One-person pensioner - Cheese              ,CZZI
571,RPI:Weights (parts per 1000) One-person pensioner - Oils and fats       ,CZZH
572,RPI:Weights (parts per 1000) One-person pensioner - Butter              ,CZZG
573,RPI:Weights (parts per 1000) One-person pensioner - Processed fish      ,CZZF
574,RPI:Weights (parts per 1000) One-person pensioner - Fresh fish          ,CZZE
575,RPI:Weights (parts per 1000) One-person pensioner - Other meat          ,CZZD
576,RPI:Weights (parts per 1000) One-person pensioner - Poultry             ,CZZC
577,HICP Annual Percentage Change - Sweden 2005=100                         ,D7SZ
578,HICP Annual Percentage Change - Spain 2005=100                          ,D7SY
579,HICP Annual Percentage Change - Portugal 2005=100                       ,D7SX
580,HICP Annual Percentage Change - Netherlands 2005=100                    ,D7SV
581,HICP Annual Percentage Change - Luxembourg 2005=100                     ,D7SU
582,HICP Annual Percentage Change - Italy 2005=100                          ,D7ST
583,HICP Annual Percentage Change - Ireland 2005=100                        ,D7SS
584,HICP Annual Percentage Change - MUICP Average 2005=100                  ,D7SR
585,HICP Annual Percentage Change - Greece 2005=100                         ,D7SQ
586,HICP Annual Percentage Change - Germany 2005=100                        ,D7SP
587,HICP Annual Percentage Change - France 2005=100                         ,D7SO
588,HICP Annual Percentage Change - Finland 2005=100                        ,D7SN
589,HICP Annual Percentage Change - Denmark 2005=100                        ,D7SM
590,HICP Annual Percentage Change - Belgium 2005=100                        ,D7SL
591,HICP Annual Percentage Change - Austria 2005=100                        ,D7SK
592,HICP Annual Percentage Change - EU 27 2005 = 100                        ,GJ2E
593,Internal purchasing power of the pound (based on RPI): 2000 = 100       ,ZMHO
594,"RPI: Ave price - Wine, per 175ml glass                                  ",KEF4
595,"RPI: Ave price - Heating oil, per 1000 litres                           ",KJ5U
596,Internal purchasing power of the pound (based on RPI): 2008 = 100       ,J5TL
597,CPI: Contribution to monthly change in all items index: Restaurant & hotels,WULY
598,CPI: Contribution to monthly change in all items index: Misc goods & services,WULZ
599,CPI: Contribution to monthly change in all items index: Furniture & hhold goods,WULO
600,CPI: Contribution to monthly change in all items index: Health          ,WULP
601,CPI: Contribution to monthly change in all items index: Transport       ,WULQ
602,CPI: Contribution to monthly change in all items index: Communication   ,WULR
603,CPI: Contribution to monthly change in all items index: Recreation & Culture,WULS
604,CPI: Contribution to monthly change in all items index: Education       ,WULT
605,CPI: Contribution to all items annual rate: Food & non-alcoholic beverages,WUMA
606,CPI: Contribution to all items annual rate: Alcohol & tobacco           ,WUMB
607,CPI: Contribution to all items annual rate: Clothing & footwear         ,WUMC
608,CPI: Contribution to all items annual rate: Housing & household services,WUMD
609,Internal Purchasing Power of the pound (based on RPI) : 2006 =100       ,GB4Y
610,RPIJ All Items Retail Price Jevons: Percentage change over 12 months    ,KVR9
611,RPIJ All Items Retail Price Index Jevons: Jan 1987 = 100                ,KVR8
612,CPI: Contribution to monthly change in all items index: Alcohol & tobacco,WULK
613,CPI: Contribution to monthly change in all items index: Clothing & footwear,WULL
614,CPI: Contribution to monthly change in all items index: Housing & hhold services,WULM
615,CPI: Contribution to monthly change in all items index: Food & non-alcoholic bev,WULE
616,Differences between CPI and RPI - unrounded 2005=100 new                ,DRA3
617,Differences between CPI and RPI due to housing comp excl from CPI-total 2005=100.1,DRA4
618,Diffs between CPI and RPI due to housing comp excl from CPI - MIPs 2005=100 new,DRA5
619,CPI: % points change over previous month (12 month rate): Health        ,WUNZ
620,Diffs btwn CPI & RPI due to hse comp excl from CPI-other hse comp 2005=100 new,DRA7
621,Difference between CPI and RPI due to other differences in coverage 2005=100 new,DRA8
622,Difference between CPI and RPI due to formula effect 2005=100 new       ,DRA9
623,CPI: % points change over previous month (12 month rate): Housing & hhold servic,WUNP
624,CPI: % points change over previous month (12 month rate): Furniture & hhold good,WUNQ
625,CPI: % points change over previous month (12 month rate): Communication ,WUOO
626,CPI: % points change over previous month (12 month rate): Recreation & culture,WUOP
627,CPI: % points change over previous month (12 month rate): Transport     ,WUOA
628,Difference between CPI and RPI due to other differences inc weights 2005=100 new,DRB2
629,CPI: Contribution to all items annual rate: Transport                   ,WUMW
630,CPI: Contribution to all items annual rate: Communication               ,WUMX
631,CPI: Contribution to all items annual rate: Furniture & household goods ,WUMP
632,CPI: Contribution to all items annual rate: Health                      ,WUMQ
633,CPI: % points change over previous month (12 month rate): Food & non alcohol bev,WUNH
634,CPI: % points change over previous month (12 month rate): Alcohol & tobacco,WUNJ
635,CPI: % points change over previous month (12 month rate): Clothing & footwear,WUNK
636,CPI: Contribution to all items annual rate: Recreation & culture        ,WUNC
637,CPI: Contribution to all items annual rate: Education                   ,WUND
638,CPI: Contribution to all items annual rate: Restaurants & hotels        ,WUNE
639,RPIJ: Percentage change over 1 month - All Items                        ,KW5F
640,Difference between CPI and RPI - rounded 2005=100 new                   ,DRA2
641,CPI: Contribution to all items annual rate: Misc goods & services       ,WUNG
642,CPI WEIGHTS 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT            ,CJVN
643,CPI WEIGHTS 07.1 : PURCHASE OF VEHICLES                                 ,CJVM
644,CPI WEIGHTS 05.6 : GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE ,CJVL
645,CPI WEIGHTS 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN             ,CJVK
646,"CPI WEIGHTS 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS          ",CJVJ
647,CPI WEIGHTS 05.3 : MAJOR HOUSEHOLD APPLIANCES INCLUDING FITTINGS AND REPAIRS,CJVI
648,CPI WEIGHTS 05.2 : HOUSEHOLD TEXTILES                                   ,CJVH
649,CPI WEIGHTS 12.3.2 : OTHER PERSONAL EFFECTS                             ,ICWA
650,"CPI WEIGHTS 05.1 : FURN, FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS ",CJVG
651,"CPI WEIGHTS 04.5 : ELECTRICITY, GAS AND OTHER FUELS                     ",CJVF
652,CPI WEIGHTS 04.4 : OTHER SERVICES RELATING TO THE DWELLING              ,CJVE
653,CPI WEIGHTS 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING       ,CJVD
654,CPI WEIGHTS 04.1 : ACTUAL RENTS FOR HOUSING                             ,CJVC
655,CPI WEIGHTS 03.2 : FOOTWEAR INCLUDING REPAIRS                           ,CJVB
656,CPI WEIGHTS 03.1 : CLOTHING                                             ,CJVA
657,CPI WEIGHTS 02.1 : ALCOHOLIC BEVERAGES                                  ,CJUZ
658,CPI WEIGHTS 01.2 : NON-ALCOHOLIC BEVERAGES                              ,CJUY
659,CPI WEIGHTS 01.1 : FOOD                                                 ,CJUX
660,CPI WEIGHTS 12 : MISCELLANEOUS GOODS AND SERVICES - est. pre-97         ,CJUW
661,"CPI WEIGHTS 11 : HOTELS, CAFES AND RESTAURANTS - est. pre-97            ",CJUV
662,CPI WEIGHTS 10 : EDUCATION - est. pre-97                                ,CJUU
663,CPI WEIGHTS 02.1.3 : BEER                                               ,CJWO
664,CPI WEIGHTS 02.1.2 : WINE (INC PERRY)                                   ,CJWN
665,CPI WEIGHTS 02.1.1 : SPIRITS                                            ,CJWM
666,"CPI WEIGHTS 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES             ",CJWL
667,"CPI WEIGHTS 01.2.1 : COFFEE, TEA, COCOA                                 ",CJWK
668,CPI WEIGHTS 01.1.9 : FOOD PRODUCTS                                      ,CJWJ
669,"CPI WEIGHTS 01.1.8 : SUGAR, JAM, HONEY, SYRUPS, CHOCOLATE AND CONFECTIONERY",CJWI
670,CPI WEIGHTS 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS     ,CJWH
671,CPI WEIGHTS 01.1.6 : FRUIT                                              ,CJWG
672,CPI WEIGHTS 01.1.5 : OILS & FATS                                        ,CJWF
673,"CPI WEIGHTS 01.1.4 : MILK, CHEESE & EGGS                                ",CJWE
674,CPI WEIGHTS 01.1.3 : FISH                                               ,CJWD
675,CPI WEIGHTS 01.1.2 : MEAT                                               ,CJWC
676,CPI WEIGHTS 06.2 : OUT-PATIENT SERVICES                                 ,ICVJ
677,CPI: % points change over previous month (12 month rate): Education     ,WUOU
678,CPI WEIGHTS 01.1.1 : BREAD & CEREALS                                    ,CJWB
679,CPI WEIGHTS 06.2.1 : MEDICAL SERVICES AND PARAMEDICAL SERVICES          ,ICVK
680,CPI: % points change over previous month (12 month rate): Restaurants & hotels,WUOV
681,CPI WEIGHTS 12.6 : FINANCIAL SERVICES N.E.C.                            ,CJWA
682,CPI WEIGHTS: Goods - estimated pre-96                                   ,ICVH
683,CPI: % points change over previous month (12 month rate): Misc goods & services,WUOW
684,CPI WEIGHTS: Services - estimated pre-96                                ,ICVI
685,CPI WEIGHTS 09.2.1 : MAJOR DURABLES FOR IND/OUTDOOR RECREATION          ,ICVN
686,CPI WEIGHTS 06.2.2 : DENTAL SERVICES                                    ,ICVL
687,CPI WEIGHTS 06.3 : HOSPITAL SERVICES                                    ,ICVM
688,CPI WEIGHTS 12.5 : INSURANCE                                            ,CJVZ
689,CPI WEIGHTS 09.4.1 : RECREATIONAL AND SPORTING SERVICES                 ,ICVR
690,CPI WEIGHTS 12.4 : SOCIAL PROTECTION                                    ,CJVY
691,CPI WEIGHTS 09.4.2 : CULTURAL SERVICES                                  ,ICVS
692,CPI WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.                              ,CJVX
693,CPI WEIGHTS 09.3.1 : GAMES TOYS AND HOBBIES                             ,ICVP
694,CPI WEIGHTS 12.1 : PERSONAL CARE                                        ,CJVW
695,CPI WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,ICVQ
696,CPI WEIGHTS 11.2.0 : ACCOMMODATION SERVICES                             ,CJVV
697,CPI WEIGHTS 09.5.2 : NEWSPAPERS AND PERIODICALS                         ,ICVV
698,CPI WEIGHTS 11.1 : CATERING                                             ,CJVU
699,"CPI WEIGHTS 09.5.3 : MISC. PRINTED MATTER, STATIONERY AND DRAWING EQ.   ",ICVW
700,CPI WEIGHTS 09.4 : RECREATIONAL AND CULTURAL SERVICES                   ,CJVT
701,CPI WEIGHTS 09.5 : NEWSPAPERS BOOKS AND STATIONERY                      ,ICVT
702,CPI WEIGHTS 09.3 : OTHER RECREATIONAL ITEMS AND EQUIPMENT GARDENS AND PETS,CJVS
703,CPI WEIGHTS 09.5.1 : BOOKS                                              ,ICVU
704,CPI WEIGHTS 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE      ,CJVR
705,CPI WEIGHTS 12.3.1 : JEWELLERY CLOCKS AND WATCHES                       ,ICVZ
706,CPI WEIGHTS 09.1 : AUDIO-VISUAL PHOTO. AND DATA PROCESSING EQUIP        ,CJVQ
707,CPI WEIGHTS 08.1 : POSTAL SERVICES                                      ,CJVP
708,CPI WEIGHTS 09.6 : PACKAGE HOLIDAY                                      ,ICVX
709,CPI WEIGHTS 07.3 : TRANSPORT SERVICES                                   ,CJVO
710,CPI WEIGHTS 12.7 : OTHER SERVICES NEC                                   ,ICVY
711,CPI WEIGHTS 07.1.2 : MOTOR CYCLES AND BICYCLES                          ,CJXP
712,CPI WEIGHTS 07.1.1B : SECOND-HAND CARS                                  ,CJXO
713,CPI WEIGHTS 07.1.1A : NEW CARS                                          ,CJXN
714,CPI WEIGHTS 05.6.2 : DOMESTIC SERVICES AND HOME CARE SERVICES           ,CJXL
715,CPI WEIGHTS 05.6.1 : NON-DURABLE HOUSEHOLD GOODS                        ,CJXK
716,CPI WEIGHTS 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES                     ,CJXJ
717,CPI WEIGHTS 05.3.1 : MAJOR HH AND SMALL ELECTRICAL EQUIPMENT            ,CJXI
718,CPI WEIGHTS 05.1.2 : CARPETS & OTHER FLOOR COVERINGS                    ,CJXG
719,"CPI WEIGHTS 05.1.1 : FURNITURE, FURNISHINGS                             ",CJXF
720,CPI WEIGHTS 04.5.4 : SOLID FUELS                                        ,CJXD
721,CPI WEIGHTS 04.5.3 : LIQUID FUELS                                       ,CJXC
722,CPI WEIGHTS 04.5.2 : GAS                                                ,CJXB
723,CPI WEIGHTS 04.5.1 : ELECTRICITY                                        ,CJXA
724,CPI WEIGHTS 04.4.3 : SEWERAGE COLLECTION                                ,CJWY
725,CPI WEIGHTS 04.4.1 : WATER SUPPLY                                       ,CJWW
726,CPI WEIGHTS 04.3.2 : SERVICES FOR THE REGULAR REPAIR OF DWELLING        ,CJWV
727,CPI WEIGHTS 04.3.1 : PRODUCTS FOR THE REGULAR REPAIR OF DWELLING        ,CJWU
728,"CPI WEIGHTS 03.1.4 : DRY-CLEANING, REPAIR AND HIRE OF CLOTHING          ",CJWT
729,CPI WEIGHTS 03.1.3 : OTHER ARTICLES OF CLOTHING & CLOTHING ACCESSORIES  ,CJWS
730,CPI WEIGHTS 03.1.2 : GARMENTS                                           ,CJWR
731,CPI WEIGHTS 02.2 : TOBACCO                                              ,CJWP
732,CPI WEIGHTS 12.5.4 : INSURANCE CONNECTED WITH TRANSPORT                 ,CJYQ
733,CPI WEIGHTS 12.5.2 : INSURANCE CONNECTED WITH THE DWELLING              ,CJYP
734,"CPI WEIGHTS 12.1.2 : APPLIANCES, ARTICLES & PRODUCTS FOR PERSONAL CARE  ",CJYO
735,CPI WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,CJYN
736,CPI WEIGHTS 11.1.2 : CANTEENS                                           ,CJYM
737,CPI WEIGHTS 11.1.1 : RESTAURANTS & CAFES                                ,CJYL
738,CPI WEIGHTS 12.6.2 : FINANCIAL SERVICES N.E.C.                          ,CJYK
739,CPI WEIGHTS 09.3.4 : PETS AND RELATED PRODUCTS                          ,CJYJ
740,CPI WEIGHTS 09.3.3 : GARDEN PLANTS AND FLOWERS                          ,CJYI
741,CPI WEIGHTS 06.1.2 : OTHER MEDICAL AND THERAPEUTIC APPLIANCES           ,CJYH
742,CPI WEIGHTS 09.1.5 : REPAIR OF AUDIO-VISUAL PHOTO. AND DATA PROCESSING EQUIP,CJYG
743,CPI WEIGHTS 09.1.4 : RECORDING MEDIA                                    ,CJYF
744,CPI WEIGHTS 09.1.3 : INFORMATION PROCESSING EQUIPMENT                   ,CJYE
745,"CPI WEIGHTS 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIP      ",CJYD
746,CPI WEIGHTS 09.1.1 : EQUIPMENT FOR SOUND & PICTURES                     ,CJYC
747,CPI WEIGHTS 08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES         ,CJYB
748,CPI WEIGHTS 06.1.1 : PHARMACEUTICAL PRODUCTS                            ,CJYA
749,"RPI: Ave Price - Butter Block, per 250g                                 ",KW9B
750,"RPI: Ave Price: Butter Spreadable, per 500g                             ",KW9A
751,CPI WEIGHTS 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY     ,CJXX
752,CPI WEIGHTS 07.3.3 : PASSENGER TRANSPORT BY AIR                         ,CJXW
753,CPI WEIGHTS 07.3.2 : PASSENGER TRANSPORT BY ROAD                        ,CJXV
754,CPI WEIGHTS 07.3.1 : PASSENGER TRANSPORT BY RAILWAY                     ,CJXU
755,CPI WEIGHTS 07.2.4 : OTHER SERVICES FOR PERSONAL TRANSPORT EQUIPMENT    ,CJXT
756,CPI WEIGHTS 07.2.3 : MAINTENANCE & REPAIRS                              ,CJXS
757,CPI WEIGHTS 07.2.2 : FUELS & LUBRICANTS                                 ,CJXR
758,CPI WEIGHTS 07.2.1 : SPARE PARTS & ACCESSORIES                          ,CJXQ
759,Purchasing Power of the Pound 2010                                      ,K9AD
760,Internal purchasing power of the pound (based on RPI): 2004=100         ,C687
761,RPI:Weights (parts per 1000) - Food and Catering                        ,CBVV
762,RPI:Weights (parts per 1000) One-person pensioner - Other Tobacco       ,CBVU
763,RPI:Weights (parts per 1000) One-person pensioner - Cigarettes          ,CBVT
764,RPI:Weights (parts per 1000) One-person pensioner - Wines & spirits off sales,CBVS
765,RPI:Weights (parts per 1000) One-person pensioner - Wines & spirits on sales,CBVR
766,RPI:Weights (parts per 1000) One-person pensioner - Beer off sales      ,CBVP
767,RPI:Weights (parts per 1000) One-person pensioner - Beer on sales       ,CBVO
768,RPI:Weights (parts per 1000) One-person pensioner - Take-aways and snacks,CBVM
769,RPI:Percentage change over 12 months - Coffee and other hot drinks      ,CBVL
770,RPI:Percentage change over 12 months - Tea                              ,CBVK
771,RPI:Percentage change over 12 months - Milk products                    ,CBVJ
772,RPI:Percentage change over 12 months - Milk fresh                       ,CBVI
773,RPI:Weights (parts per 1000) One-person pensioner - Chemists goods      ,CBWW
774,RPI:Weights (parts per 1000) One-person pensioner - Personal articles   ,CBWV
775,RPI:Weights (parts per 1000) One-person pensioner - Footwear            ,CBWU
776,RPI:Weights (parts per 1000) One-person pensioner - Other clothing      ,CBWT
777,RPI:Weights (parts per 1000) One-person pensioner - Children's outerwear,CBWS
778,RPI:Weights (parts per 1000) One-person pensioner - Women's outerwear   ,CBWR
779,RPI:Weights (parts per 1000) One-person pensioner - Men's outerwear     ,CBWQ
780,RPI:Weights (parts per 1000) One-person pensioner - Fees and subscriptions,CBWP
781,RPI:Weights (parts per 1000) One-person pensioner - Domestic services   ,CBWO
782,"RPI:Weights (parts per 1000) One-person pensioner - Telephones, telemessages, et",CBWN
783,RPI:Weights (parts per 1000) One-person pensioner - Postage             ,CBWM
784,RPI:Weights (parts per 1000) One-person pensioner - Pet care            ,CBWL
785,RPI:Weights (parts per 1000) One-person pensioner - Household consumables,CBWK
786,RPI:Weights (parts per 1000) One-person pensioner - Other household equipment,CBWJ
787,RPI:Weights (parts per 1000) One-person pensioner - Electrical appliances,CBWI
788,RPI:Weights (parts per 1000) One-person pensioner - Furnishings         ,CBWH
789,RPI:Weights (parts per 1000) One-person pensioner - Furniture           ,CBWG
790,RPI:Weights (parts per 1000) One-person pensioner - Oil and other fuels ,CBWF
791,RPI:Weights (parts per 1000) One-person pensioner - Gas                 ,CBWE
792,RPI:Weights (parts per 1000) One-person pensioner - Electricity         ,CBWD
793,RPI:Weights (parts per 1000) One-person pensioner - Coal and solid fuels,CBWC
794,RPI:Weights (parts per 1000) One-person pensioner - Foreign holidays    ,CBWB
795,RPI:Weights (parts per 1000) - Consumer Durables                        ,CBWA
796,RPI:Weights (parts per 1000) - Travel and Leisure                       ,CBVZ
797,RPI:Weights (parts per 1000) - Personal Expenditure                     ,CBVY
798,RPI:Weights (parts per 1000) - Housing and Household Expenditure        ,CBVX
799,RPI:Weights (parts per 1000) - Alcohol and Tobacco                      ,CBVW
800,Internal purchasing power of the pound (based on RPI): 1993=100         ,CBXX
801,RPI:Weights (parts per 1000) One-person pensioner - Tobacco             ,CBXW
802,RPI:Weights (parts per 1000) One-person pensioner - Alcoholic drink     ,CBXV
803,RPI:Weights (parts per 1000) One-person pensioner - Catering            ,CBXU
804,RPI:Weights (parts per 1000) One-person pensioner - Food                ,CBXR
805,RPI:Weights (parts per 1000) - Foreign holidays                         ,CBXQ
806,RPI:Weights (parts per 1000) Two person pensioner - Foreign holidays    ,CBXP
807,RPI:Weights (parts per 1000) One-person pensioner - Entertainment & other recrea,CBXL
808,RPI:Weights (parts per 1000) One-person pensioner - Television licences and rent,CBXK
809,RPI:Weights (parts per 1000) One-person pensioner - Gardening products  ,CBXJ
810,RPI:Weights (parts per 1000) One-person pensioner - Books and newspapers,CBXI
811,"RPI:Weights (parts per 1000) One-person pensioner - Toys, photographic & sports",CBXH
812,RPI:Weights (parts per 1000) One-person pensioner - Records and tapes   ,CBXG
813,RPI:Weights (parts per 1000) One-person pensioner - Audio-visual equipment,CBXF
814,RPI:Weights (parts per 1000) One-person pensioner - Other travel costs  ,CBXE
815,RPI:Weights (parts per 1000) One-person pensioner - Bus and coach fares ,CBXD
816,RPI:Weights (parts per 1000) One-person pensioner - Rail fares          ,CBXC
817,RPI:Weights (parts per 1000) One-person pensioner - Vehicles tax and insurance,CBXB
818,RPI:Weights (parts per 1000) One-person pensioner - Petrol and oil      ,CBXA
819,RPI:Weights (parts per 1000) One-person pensioner - Maintenance of motor vehicle,CBWZ
820,RPI:Weights (parts per 1000) One-person pensioner - Purchase of motor vehicles,CBWY
821,RPI:Weights (parts per 1000) One-person pensioner - Personal services   ,CBWX
822,RPI:Weights (parts per 1000) Two-person pensioner - Milk products       ,CBYY
823,"RPI:Weights (parts per 1000) Two-person pensioner - Milk, fresh         ",CBYX
824,RPI:Weights (parts per 1000) Two-person pensioner - Eggs                ,CBYW
825,RPI:Weights (parts per 1000) Two-person pensioner - Cheese              ,CBYV
826,RPI:Weights (parts per 1000) Two-person pensioner - Oils and fats       ,CBYU
827,RPI:Weights (parts per 1000) Two-person pensioner - Butter              ,CBYT
828,RPI:Weights (parts per 1000) Two-person pensioner - processed fish      ,CBYS
829,RPI:Weights (parts per 1000) Two-person pensioner - Fresh fish          ,CBYR
830,RPI:Weights (parts per 1000) Two-person pensioner - Other meat          ,CBYQ
831,RPI:Weights (parts per 1000) Two-person pensioner - Poultry             ,CBYP
832,RPI:Weights (parts per 1000) Two-person pensioner - Bacon               ,CBYO
833,RPI:Weights (parts per 1000) Two-person pensioner - Pork                ,CBYN
834,RPI:Weights (parts per 1000) Two-person pensioner - imported lamb       ,CBYM
835,RPI:Weights (parts per 1000) Two-person pensioner - Home-killed lamb    ,CBYL
836,RPI:Weights (parts per 1000) Two-person pensioner - Beef                ,CBYK
837,RPI:Weights (parts per 1000) Two-person pensioner - Biscuits and cakes  ,CBYJ
838,RPI:Weights (parts per 1000) Two-person pensioner - Cereals             ,CBYI
839,RPI:Weights (parts per 1000) Two-person pensioner - Bread               ,CBYH
840,RPI:Weights (parts per 1000) One-person pensioner - Leisure services    ,CBYG
841,RPI:Weights (parts per 1000) One-person pensioner - Leisure goods       ,CBYF
842,RPI:Weights (parts per 1000) One-person pensioner - Fares and other travel costs,CBYE
843,RPI:Weights (parts per 1000) One-person pensioner - Motoring expenditure,CBYD
844,RPI:Weights (parts per 1000) One-person pensioner - Personal goods and services,CBYC
845,RPI:Weights (parts per 1000) One-person pensioner - Clothing and footwear,CBYB
846,RPI:Weights (parts per 1000) One-person pensioner - Household services  ,CBYA
847,RPI:Weights (parts per 1000) One-person pensioner - Household goods     ,CBXZ
848,RPI:Weights (parts per 1000) One-person pensioner - Fuel and light      ,CBXY
849,RPI:Percentage change over 12 months - All items exc MIPs and indirect taxes,CBZX
850,RPI:All items exc mortgage int payments and indirect taxes (RPIY) (Jan 1987=100),CBZW
851,RPI:Weights (parts per 1000) Two-person pensioner - Other Tobacco       ,CBZV
852,RPI:Weights (parts per 1000) Two-person pensioner - Cigarettes          ,CBZU
853,RPI:Weights (parts per 1000) Two-person pensioner - wines & spirits off sales,CBZT
854,RPI:Weights (parts per 1000) Two-person pensioner - wines & spirits on sales,CBZS
855,RPI:Weights (parts per 1000) Two-person pensioner - beer off sales      ,CBZQ
856,RPI:Weights (parts per 1000) Two-person pensioner - beer on sales       ,CBZP
857,RPI:Weights (parts per 1000) Two-person pensioner - Take-aways and snacks,CBZN
858,RPI:Weights (parts per 1000) Two-person pensioner - Canteen meals       ,CBZM
859,RPI:Weights (parts per 1000) Two-person pensioner - Restaurant meals    ,CBZL
860,RPI:Weights (parts per 1000) Two-person pensioner - Other foods         ,CBZK
861,RPI:Weights (parts per 1000) Two-person pensioner - Processed fruit     ,CBZJ
862,RPI:Weights (parts per 1000) Two-person pensioner - Fresh fruit         ,CBZI
863,RPI:Weights (parts per 1000) Two-person pensioner - Processed vegetables,CBZH
864,RPI:Weights (parts per 1000) Two-person pensioner - Fresh vegetables    ,CBZG
865,RPI:Weights (parts per 1000) Two-person pensioner - Processed potatoes  ,CBZF
866,RPI:Weights (parts per 1000) Two-person pensioner - Unprocessed potatoes,CBZE
867,RPI:Weights (parts per 1000) Two-person pensioner - Sweets and chocolates,CBZD
868,RPI:Weights (parts per 1000) Two-person pensioner - Sugar and preserves ,CBZC
869,RPI:Weights (parts per 1000) Two-person pensioner - Soft drinks         ,CBZB
870,RPI:Weights (parts per 1000) Two-person pensioner - Coffee and other hot drinks,CBZA
871,RPI:Weights (parts per 1000) Two-person pensioner - Tea                 ,CBYZ
872,CPI WEIGHTS 12.5.3 : INSURANCE CONNECTED WITH HEALTH                    ,JKWP
873,CPI WEIGHTS 06.1 : MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT            ,JKWO
874,International purchasing power of the pound (based on RPI): 1999=100    ,JKZZ
875,"RPI: Ave Price - Beef: Braising Steak, per Kg                           ",JTTA
876,Internal purchasing power of the pound (based on RPI): 2005=100         ,SEZH
877,"CPIH INDEX 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS 2005=100          ",L524
878,CPIH INDEX 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2005=100               ,L523
879,CPIH All Items Index: 2005=100                                          ,L522
880,CPIH INDEX 06 : HEALTH 2005=100                                         ,L528
881,"CPIH INDEX 05 : FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE 2005=100       ",L527
882,CPIH INDEX 03 : CLOTHING AND FOOTWEAR 2005=100                          ,L525
883,CPIH INDEX 07 : TRANSPORT2005=100                                       ,L529
884,"CPIH INDEX 11 : HOTELS, CAFES AND RESTAURANTS 2005=100                  ",L52D
885,CPIH INDEX 10 : EDUCATION 2005=100                                      ,L52C
886,CPIH INDEX 09 : RECREATION & CULTURE 2005=100                           ,L52B
887,CPIH INDEX 08 : COMMUNICATION 2005=100                                  ,L52A
888,CPIH INDEX 01.1 : FOOD 2005=100                                         ,L52H
889,CPIH INDEX: Services 2005=100                                           ,L52G
890,CPIH INDEX: Goods 2005=100                                              ,L52F
891,CPIH INDEX 12 : MISCELLANEOUS GOODS AND SERVICES 2005=100               ,L52E
