,contacts,description,id,keywords,links,methodologies,next_release,qmi,related_datasets,release_frequency,state,title,national_statistic,type,publications,unit_of_measure,license
23,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Population Statistics Division', 'telephone': '+44 (0)1329 444661'}]","Both indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are sex ratios for people aged 65 years and over and 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool enables users to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",older-people-sex-ratios,"['ageing', 'population']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing'}}",,01-Jun-21,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/methodologies/annualmidyearpopulationestimatesqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland', 'title': 'Estimates of the population for the UK, England and Wales, Scotland and Northern Ireland'}]",Annual,published,"Local authority ageing statistics, sex ratios for people aged 65 and over and 85 and over",,,,,
24,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Population Statistics Division', 'telephone': '+44 (0)1329 444661'}]","Figures presented show the movement of older people between local authorities and regions. Both indicators included in this dataset have been derived from the published 2019 internal migration dataset for England and Wales. The numbers presented are the net number of people aged 65 years and over and 85 years and over entering/ leaving the local authority or region in the 12-month period stated.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool is interactive, and users are able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",older-people-net-internal-migration,"['ageing', 'population']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing'}}",,01-Jun-21,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/migrationwithintheuk/methodologies/internalmigrationestimatesqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/migrationwithintheuk/datasets/internalmigrationlaandregionmovesandbysexandsingleyearofagetotals', 'title': 'Internal migration: by local authority and region, age and sex'}]",Annual,published,"Local authority ageing statistics, net internal migration people aged 65 and over and 85 and over",,,,,
25,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Population Statistics Division', 'telephone': '+44 (0)1329 444661'}]","Indicators included are economic activity and employment rates for those aged 50-64 years, by country, region and local authority. Both economic activity and employment rates are displayed as percentages. These have been calculated from the ONS Annual Population Survey and have been extracted from NOMIS.

https://www.nomisweb.co.uk/

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which will be published in July 2020. The tool will be interactive, and users will be able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on update frequency: NOMIS provide quarterly updates on both indicators. For consistency with other indicators presented in the subnational ageing tool, these will be updated on an annual basis.",older-people-economic-activity,"['ageing', 'population']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing'}}",,01-Jun-21,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/annualpopulationsurveyapsqmi'},"[{'href': 'https://www.nomisweb.co.uk/', 'title': 'Link to NOMIS website'}]",Quarterly but updated on CMD annually,published,"Local authority ageing statistics, older people economic activity",,,,,
26,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Neil Park', 'telephone': '+44 (0)1329 444661'}]","Estimates of the usual resident population for the UK as at 30 June of the reference year. Provided by administrative area, single year of age and sex.",mid-year-pop-est,['Population'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/mid-year-pop-est/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/mid-year-pop-est/editions/mid-2019-april-2020-geography/versions/3', 'id': '3'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/mid-year-pop-est'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/populationandmigration/populationestimates'}}",,Jun-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/methodologies/midyearpopulationestimatesqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland', 'title': 'Population Estimates for UK, England and Wales, Scotland and Northern Ireland'}]",Annually,published,"Population Estimates for UK, England and Wales, Scotland and Northern Ireland",TRUE,,"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/annualmidyearpopulationestimates/latest', 'title': 'Population estimates for UK, England and Wales, Scotland and Northern Ireland'}]",Number of people,Open Government Licence v3.0
27,"[{'email': 'health.data@ons.gov.uk', 'name': 'Chris White', 'telephone': '+44 (0)1633 455865'}]",Subnational trends in the average number of years people will live beyond their current age measured by “period life expectancy”.,life-expectancy-by-local-authority,['life expectancy'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies'}}",,To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies/methodologies/healthstatelifeexpectanciesukqmi'},,Annual,published,Life Expectancy by Local Authority,,,"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies/bulletins/lifeexpectancyforlocalareasoftheuk/between2001to2003and2017to2019', 'title': 'Life expectancy for local areas of the UK: between 2001 to 2003 and 2017 to 2019'}]",,
28,"[{'email': 'labour.market@ons.gov.uk', 'name': 'Debra Leaker', 'telephone': '+44 (0)1633 455400'}]","The LFS is a data source compiled from a survey of the UK population. It uses internationally recognised definitions of employment, unemployment and economic activity. It also captures other personal characteristics of household members over the age of 16 such as occupation, education and training. The LFS reflects only a sample of the total population. All cases are therefore weighted on the basis of sub-national population totals by age and sex to give estimates for the entire UK household population.

Labour Force Survey (LFS) responses have been reweighted for periods from January to March 2020 using updated HM Revenue and Customs (HMRC) Real Time Information (RTI) data. The non-response bias adjustment, previously implemented for England, Wales and Scotland data, has now also been applied to Northern Ireland data. Our Impact of reweighting on Labour Force Survey key indicators: 2022 article gives more information on the reweighting exercise.",labour-market,['labour market'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/labour-market/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/labour-market/editions/PWT22/versions/4', 'id': '4'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/labour-market'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/employmentandlabourmarket/peopleinwork/labourproductivity'}}",,11-Oct-22,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/labourforcesurveylfsqmi'},,Monthly,published,UK Labour Market,TRUE,,,,
29,"[{'email': 'hpi@ons.gov.uk', 'name': 'Ceri Lewis', 'telephone': '+44 (0)1633 456400'}]",An experimental price index tracking the prices paid for renting property from private landlords in the United Kingdom,index-private-housing-rental-prices,"['private renting', 'regions,IPHRP,rent,inflation']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices/editions/time-series/versions/23', 'id': '23'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/housing'}}",,14-Sep-22,{'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/indexofprivatehousingrentalpricesqmi'},,Monthly,published,Index of Private Housing Rental Prices,,,,,
30,"[{'email': 'hpi@ons.gov.uk', 'name': 'Ceri Lewis', 'telephone': '+44 (0)1633 456400'}]","Summary statistics for housing transactions by local authority in England and Wales, on an annual basis, updated quarterly using HM Land Registry Price Paid Data. Select values from the Year and Month dimensions for data for a 12-month period ending that month and year (e.g. selecting June and 2018 will return the twelve months to June 2018).",house-prices-local-authority,['house prices'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority/editions/time-series/versions/9', 'id': '9'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/housing'}}",,Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/housing/methodologies/housepricestatisticsforsmallareasqmi'},,Quarterly,published,House price statistics for small areas in England and Wales,,,,,
31,"[{'email': 'healthaccounts@ons.gov.uk', 'name': 'James Cooper', 'telephone': '+44 (0)1633 456551'}]","Healthcare expenditure statistics, produced to the international definitions of the System of Health Accounts 2011.

Subcategories may not sum to aggregates due to rounding.",health-accounts,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/health-accounts/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/health-accounts/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/health-accounts'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/healthandsocialcare/healthcaresystem'}}","[{'href': 'http://www.oecd.org/els/health-systems/a-system-of-health-accounts-2011-9789264270985-en.htm', 'title': 'International Classification of Health Accounts (ICHA) codes'}]",To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthcaresystem/methodologies/ukhealthaccountsqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthcaresystem/datasets/healthaccountsreferencetables', 'title': 'UK Health Accounts reference tables'}]",Annual,published,Expenditure on healthcare: UK Health Accounts,,,"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthcaresystem/bulletins/ukhealthaccounts/2019', 'title': 'Healthcare expenditure, UK Health Accounts: 2019'}]",,
32,"[{'email': 'regionalaccounts@ons.gov.uk', 'name': 'Trevor Fenton', 'telephone': '+44 (0)1633 456083'}]","Gross value added (balanced) in current basic prices and as chained volume measures, with a breakdown by 24 industry sectors, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",gva-by-industry-by-local-authority,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/grossvalueaddedgva'}}",,TBA,{'href': 'https://www.ons.gov.uk/economy/regionalaccounts/grossdisposablehouseholdincome/methodologies/regionalaccounts'},,Annual,published,GVA by industry by local authority,,filterable,,,
33,"[{'email': 'hie@ons.gov.uk', 'name': ""Jeena O'Neill"", 'telephone': '+44 (0)1633 456651'}]","The effects of direct and indirect taxation and benefits received in cash or kind on household income, across the generations and by age.

This data is estimated by combining multiple years of the Living Costs and Food Survey, from 1978 to financial year ending March 2020, with the exception of 1979, 1981 and 1984. All financial amounts are adjusted for inflation using the Consumer Prices Index including owner occupiers’ housing costs (CPIH) excluding Council Tax, to their financial year ending March 2018. For example, the mean disposable income for those aged 35 and born in the 1970’s (£35,497) is estimated by taking the average (in real terms) of the household disposable income for these people across the combined dataset.",generational-income,"['taxes', 'benefits,generational income']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/generational-income/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/generational-income/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/generational-income'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth'}}",,To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/methodologies/theeffectsoftaxesandbenefitsonukhouseholdincome'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/theeffectsoftaxesandbenefitsonhouseholdincome/financialyearending2019', 'title': 'Generational income: The effects of taxes and benefits'}]",Annual,published,Generational income: The effects of taxes and benefits,,,,£ (Mean average amount),
34,"[{'email': 'gdp@ons.gov.uk', 'name': 'James Scruton', 'telephone': '+44 (0)1633 455284'}]","Gross domestic product (GDP) measures the value of goods and services produced in the UK. It estimates the size of and growth in the economy. This dataset also contains the Index of Services (monthly movements in output for the services industries) and the Index of Production (movements in the volume of production for the UK production industries: manufacturing, mining and quarrying, energy supply, and water and waste management). Figures are seasonally adjusted.",gdp-to-four-decimal-places,"['GDP', 'economy']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-to-four-decimal-places/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-to-four-decimal-places/editions/time-series/versions/23', 'id': '23'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-to-four-decimal-places'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/grossdomesticproductgdp'}}",,12-Sep-22,{'href': 'https://www.ons.gov.uk/economy/grossdomesticproductgdp/methodologies/grossdomesticproductgdpqmi'},,Monthly,published,GDP monthly estimate (incorporating the Index of Services and Index of Production),,,,Index. Seasonally adjusted 2016=100,
35,"[{'email': 'regionalaccounts@ons.gov.uk', 'name': 'Trevor Fenton', 'telephone': '+44 (0)1633 456083'}]","Gross domestic product (GDP) in current market prices and as chained volume measures, plus GDP per capita, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",gdp-by-local-authority,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-by-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-by-local-authority/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/gdp-by-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/grossdomesticproductgdp'}}",,TBA,{'href': 'https://www.ons.gov.uk/economy/regionalaccounts/grossdisposablehouseholdincome/methodologies/regionalaccounts'},,,published,GDP by local authority,,filterable,,,
36,"[{'email': 'faster.indicators@ons.gov.uk', 'name': 'Chloe Gibbs'}]","These shipping indicators are based on counts of all vessels, and cargo and tanker vessels. As discussed in Faster indicators of UK economic activity: shipping (please see the related links), we expect the shipping indicators to be related to the import and export of goods.",faster-indicators-shipping-data,"['shipping', 'faster indicators']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/faster-indicators-shipping-data/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/faster-indicators-shipping-data/editions/time-series/versions/84', 'id': '84'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/faster-indicators-shipping-data'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/business/activitysizeandlocation'}}",,15-Sep-22,{'href': 'https://datasciencecampus.ons.gov.uk/projects/faster-indicators-of-uk-economic-activity-shipping/'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronavirustheukeconomyandsocietyfasterindicators/latest', 'title': 'Coronavirus and the latest indicators for the UK economy and society'}]",Weekly,published,Coronavirus and the latest indicators for the UK economy and society: Shipping indicators,,,"[{'href': 'https://datasciencecampus.ons.gov.uk/projects/faster-indicators-of-uk-economic-activity-shipping/', 'title': 'Faster indicators of UK economic activity: shipping'}]",,
37,"[{'email': 'cpi@ons.gov.uk', 'name': 'Chris Payne and Philip Gooding', 'telephone': '+44 (0)1633 456900'}]","CPIH is the most comprehensive measure of inflation. It extends CPI to include a measure of the costs associated with owning, maintaining and living in one's own home, known as owner occupiers' housing costs (OOH), along with council tax. This dataset provides CPIH time series (2005 to latest published month), allowing users to customise their own selection, view or download.",cpih01,['Inflation'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/cpih01/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/cpih01/editions/time-series/versions/25', 'id': '25'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/cpih01'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/inflationandpriceindices'}}","[{'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/consumerpricesindicestechnicalmanual2019', 'title': 'Consumer Price Indices Technical Manual 2019 Edition'}, {'description': 'From the release of January consumer price inflation data on 16 February 2016, CPI and CPIH indices will be re-referenced and published with 2015=100.', 'href': 'https://www.ons.gov.uk/file?uri=/economy/inflationandpriceindices/datasets/consumerpriceinflation/current/cpirereferenceddata2015100tcm77432809.xls', 'title': 'Re-referencing of the CPI and CPIH indices to 2015=100'}, {'description': 'Provides information on the characteristics of the different measures of consumer price inflation in relation to potential use.', 'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/usersandusesofconsumerpriceinflationstatistics', 'title': 'Users and uses of consumer price inflation statistics'}]",14-Sep-22,{'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/methodologies/consumerpriceinflationincludesall3indicescpihcpiandrpiqmi'},"[{'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceinflation', 'title': 'Consumer price inflation'}]",Monthly,published,Consumer Prices Index including owner occupiers' housing costs (CPIH),TRUE,,"[{'href': 'https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest', 'title': 'UK consumer price inflation'}]",Index: 2015=100,Open Government Licence v3.0
38,"[{'email': 'ellie.osborn@ons.gov.uk', 'name': 'Ellie Osborn', 'telephone': '+44 (0)1633 651830'}]","How children aged 0 to 15 years in the UK are coping in a range of areas that matter to their quality of life, reflecting the circumstances of their lives and their own perspectives.

This is a subset of the children's well-being indicators. For the full dataset, please see 'Children's well-being and social relationships, UK: 2018' in the 'Related datasets' section.",childrens-wellbeing,"[""children's well-being"", 'well-being']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/childrens-wellbeing/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/childrens-wellbeing/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/childrens-wellbeing'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/wellbeing'}}","[{'href': 'https://www.childrenssociety.org.uk', 'title': ""Source: The Children's Society""}, {'description': 'Please use this link for more information on Government Statistical Service (GSS) harmonised well-being questions.', 'href': 'https://gss.civilservice.gov.uk/policy-store/personal-well-being/', 'title': 'Personal well-being - GSS'}]",To be announced,{},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/measuringnationalwellbeing/march2018', 'title': 'Children’s well-being and social relationships, UK: 2018'}, {'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/measuringnationalwellbeing/internationalcomparisons2019', 'title': 'Measuring national well-being in the UK: international comparisons, 2019'}]",To be announced,published,Children's Well-being Measures,,,,,
39,"[{'email': 'earnings@ons.gov.uk', 'name': 'Nicola White', 'telephone': '+44 (0)1633 45 6120'}]","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home and work-based Parliamentary constituency. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",ashe-tables-9-and-10,"['ASHE', 'pay,earnings,hours']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-9-and-10/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-9-and-10/editions/time-series/versions/3', 'id': '3'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-9-and-10'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/employmentandlabourmarket/peopleinwork/earningsandworkinghours'}}",,To be announced,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/methodologies/annualsurveyofhoursandearningslowpayandannualsurveyofhoursandearningspensionresultsqmi'},,Annual,published,"Earnings and hours worked, place of work and place of residence by Parliamentary constituency: ASHE Tables 9 and 10",TRUE,,"[{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/annualsurveyofhoursandearnings/2019', 'title': 'Employee earnings in the UK'}]",,
40,"[{'email': 'earnings@ons.gov.uk', 'name': 'Nicola White', 'telephone': '+44 (0)1633 456120'}]","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and residence-based region to local and unitary authority level. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",ashe-tables-7-and-8,"['ASHE', 'pay']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-7-and-8/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-7-and-8/editions/2021/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-7-and-8'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/employmentandlabourmarket/peopleinwork/earningsandworkinghours'}}",,To be announced,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/methodologies/annualsurveyofhoursandearningslowpayandannualsurveyofhoursandearningspensionresultsqmi'},,Annual,published,"Earnings and hours worked, place of work and residence by local authority: ASHE Tables 7 and 8 ",TRUE,,"[{'href': 'https://www.ons.gov.uk/releases/employeeearningsintheuk2019', 'title': 'Employee earnings in the UK'}]",,
41,"[{'email': 'earnings@ons.gov.uk', 'name': 'Nicola White', 'telephone': '+44(0)1633 45 6120'}]","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region and two-digit Standard Occupational Classification 2010. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",ashe-tables-3,"['ASHE', 'pay']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-3/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-3/editions/time-series/versions/3', 'id': '3'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-3'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/employmentandlabourmarket/peopleinwork/earningsandworkinghours'}}",,To be announced,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/methodologies/annualsurveyofhoursandearningslowpayandannualsurveyofhoursandearningspensionresultsqmi'},,Annual,published,"Earnings and hours worked, region by occupation by two-digit SOC: ASHE Table 3",TRUE,,"[{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/annualsurveyofhoursandearnings/latest', 'title': 'Employee earnings in the UK'}]",,
42,"[{'email': 'earnings@ons.gov.uk', 'name': 'Nicola White', 'telephone': '+44 (0)1633 456120'}]","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and home-based local enterprise partnerships. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",ashe-tables-27-and-28,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-27-and-28/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-27-and-28/editions/2021/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-27-and-28'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/employmentandlabourmarket/peopleinwork/earningsandworkinghours'}}",,To be announced,{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/methodologies/annualsurveyofhoursandearningslowpayandannualsurveyofhoursandearningspensionresultsqmi'},,Annual,published,"Earnings and hours worked, place of work and place of residence by local enterprise partnerships: ASHE Tables 27 and 28",TRUE,,"[{'href': 'https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/annualsurveyofhoursandearnings/latest', 'title': 'Employee earnings in the UK'}]",,
